Time;Dist;GYRO_STEER;GYRO_Z;V_Sat;Longitude;Latitude;;;
s;m;V;deg/s;km/h;°;°;;;
0;0;2,4998853;0,52;0,08;9,392271;45,8520917;;;GYRO_STEER--> OFF SET = 2.5 V --> Sensitivity = 40°/s/V
0,04;0;2,5014112;0,46;0,08;9,392271;45,8520916;;;
0,08;0;2,4965284;0,5;0,14;9,392271;45,8520914;;;
0,12;0;2,4977491;0,7;0,2;9,3922711;45,8520913;;;
0,16;0;2,4900432;0,4;0,24;9,3922712;45,8520912;;;
0,2;0;2,489738;0,5;0,24;9,3922713;45,8520912;;;
0,24;0;2,4930189;0,54;0,05;9,3922714;45,8520911;;;
0,28;0;2,4900432;0,34;0,05;9,3922715;45,8520911;;;
0,32;0;2,5101089;0,26;0,16;9,3922716;45,8520911;;;
0,36;0;2,5114059;0,1;0,28;9,3922718;45,8520911;;;
0,4;0;2,4856944;0,22;0,21;9,3922719;45,8520911;;;
0,44;0;2,5117874;0,7;0,21;9,3922719;45,8520909;;;
0,48;0;2,5358965;0,66;0,11;9,392272;45,8520908;;;
0,52;0;2,5302508;0,36;0,11;9,392272;45,8520907;;;
0,56;0;2,5037763;0,5;0,14;9,392272;45,8520906;;;
0,6;0;2,4934766;0,3;0,17;9,392272;45,8520905;;;
0,64;0;2,4623482;0,3;0,42;9,3922721;45,8520904;;;
0,68;0;2,4727242;0,32;0,42;9,3922721;45,8520903;;;
0,72;0;2,5095749;0,14;0,36;9,3922721;45,8520902;;;
0,76;0;2,5061414;0,38;0,36;9,3922722;45,8520901;;;
0,8;0;2,519722;0,4;0,4;9,3922723;45,85209;;;
0,84;0;2,5204849;0,02;0,45;9,3922724;45,85209;;;
0,88;0;2,5387194;0,36;0,42;9,3922725;45,8520899;;;
0,92;0;2,5619895;0,34;0,42;9,3922725;45,8520899;;;
0,96;0;2,5693901;0,78;0,16;9,3922725;45,8520899;;;
1;0;2,5571067;0,7;0,16;9,3922724;45,8520898;;;
1,04;0;2,5569541;0,48;0,17;9,3922724;45,8520898;;;
1,08;0;2,5428395;0,74;0,17;9,3922724;45,8520898;;;
1,12;0;2,5140762;0,7;0,31;9,3922725;45,8520898;;;
1,16;0;2,4818797;0,82;0,31;9,3922726;45,8520899;;;
1,2;0;2,4774547;1,14;0,58;9,3922728;45,8520899;;;
1,24;0;2,461509;1,3;0,58;9,392273;45,8520901;;;
1,28;0;2,4048216;1,8;0,31;9,3922732;45,8520902;;;
1,32;0;2,4050505;1,46;0,31;9,3922735;45,8520903;;;
1,36;0;2,38941;0,72;0,01;9,3922738;45,8520904;;;
1,4;0;2,3440144;1,62;0,01;9,392274;45,8520905;;;
1,44;0;2,3274584;1,08;0,28;9,3922743;45,8520906;;;
1,48;0;2,3427937;0,86;0,28;9,3922746;45,8520907;;;
1,52;0;2,4622719;0,74;0,14;9,3922749;45,8520907;;;
1,56;0;2,4937055;1,3;0,14;9,3922752;45,8520909;;;
1,6;0;2,4269471;2,22;0,23;9,3922755;45,852091;;;
1,64;0;2,4520483;0,9;0,32;9,3922759;45,8520911;;;
1,68;0;2,4663918;0,16;0,16;9,3922762;45,8520913;;;
1,72;0;2,4321353;1,04;0,16;9,3922765;45,8520914;;;
1,76;0;2,4075682;1,26;0,14;9,3922768;45,8520914;;;
1,8;0;2,4377811;0,44;0,14;9,3922771;45,8520915;;;
1,84;0;2,4397647;-0,02;0,16;9,3922774;45,8520916;;;
1,88;0;2,4569311;-0,36;0,16;9,3922777;45,8520919;;;
1,92;0;2,5008771;-0,36;0,26;9,392278;45,8520921;;;
1,96;0;2,5378039;0,28;0,26;9,3922781;45,8520923;;;
2;0;2,638895;0,62;0,14;9,3922783;45,8520924;;;
2,04;0;2,7365527;0,94;0,14;9,3922785;45,8520924;;;
2,08;0;2,6856639;0,68;0,64;9,3922788;45,8520923;;;
2,12;0;2,524605;0,52;0,64;9,392279;45,8520923;;;
2,16;0;2,3649955;0,52;0,49;9,3922793;45,8520923;;;
2,2;0;2,3585105;-0,08;0,49;9,3922795;45,8520924;;;
2,24;0;2,4147401;-0,56;0,05;9,3922797;45,8520924;;;
2,28;0;2,4805064;0,86;0,05;9,3922799;45,8520925;;;
2,32;0;2,5578697;1,48;0,1;9,3922801;45,8520926;;;
2,36;0;2,5957882;0,76;0,1;9,3922804;45,8520926;;;
2,4;0;2,5341418;0,12;0,15;9,3922806;45,8520926;;;
2,44;0;2,4106963;-0,24;0,15;9,3922808;45,8520926;;;
2,48;0;2,3944454;0,2;0,18;9,392281;45,8520925;;;
2,52;0;2,4866099;0,14;0,18;9,3922811;45,8520927;;;
2,56;0;2,534981;0,28;0,26;9,3922813;45,8520928;;;
2,6;0;2,5503926;-0,02;0,26;9,3922816;45,8520931;;;
2,64;0;2,6044097;0,14;0,53;9,3922819;45,8520933;;;
2,68;0;2,660105;0,46;0,53;9,3922822;45,8520937;;;
2,72;0;2,7009993;0,68;0,85;9,3922826;45,852094;;;
2,76;0;2,7138932;0,8;0,85;9,3922829;45,8520943;;;
2,8;0;2,6849773;0,56;1,04;9,3922833;45,8520946;;;
2,84;0;2,5509267;0,62;1,04;9,3922835;45,8520948;;;
2,88;0;2,4225984;0,88;1,17;9,3922838;45,852095;;;
2,92;0;2,4231324;2,02;1,17;9,3922843;45,8520954;;;
2,96;0;2,4617379;1,24;1,35;9,3922848;45,8520957;;;
3;0;2,3563743;0,74;1,35;9,3922855;45,8520962;;;
3,04;0;2,1860073;0,76;1,12;9,3922862;45,8520967;;;
3,08;0;2,2534521;-0,28;1,12;9,3922869;45,8520971;;;
3,12;0;2,3511863;-0,44;0,98;9,3922877;45,8520975;;;
3,16;0;2,439307;0,16;0,98;9,3922884;45,852098;;;
3,2;0;2,6043334;0,74;0,66;9,3922891;45,8520984;;;
3,24;0;2,7394519;1,18;0,66;9,3922899;45,8520988;;;
3,28;0;2,8028531;1,46;0,66;9,3922907;45,8520992;;;
3,32;0;2,7196152;1,72;0,66;9,3922913;45,8520994;;;
3,36;0;2,5958645;1,04;0,69;9,3922919;45,8520995;;;
3,4;0;2,4525824;0,32;0,69;9,3922921;45,8520995;;;
3,44;0;2,334096;-0,54;0,38;9,3922924;45,8520995;;;
3,48;0;2,2918286;-0,22;0,38;9,3922925;45,8520996;;;
3,52;0;2,3847561;0,62;0,58;9,3922926;45,8520996;;;
3,56;0;2,4734871;1,18;0,58;9,3922927;45,8520997;;;
3,6;0;2,5371935;0,98;0,61;9,3922929;45,8520998;;;
3,64;0;2,5065992;1,02;0,61;9,3922933;45,8520999;;;
3,68;0;2,4941633;-0,02;0,41;9,3922936;45,8521;;;
3,72;0;2,4312961;-0,38;0,41;9,3922939;45,8521;;;
3,76;0;2,4023802;0,14;0,18;9,3922942;45,8521;;;
3,8;0;2,4844737;-0,26;0,18;9,3922944;45,8521;;;
3,84;0;2,5808344;-0,54;0,45;9,3922945;45,8520999;;;
3,88;0;2,5853357;0,48;0,45;9,3922946;45,8520999;;;
3,92;0;2,5810633;1,56;0,38;9,3922948;45,8520999;;;
3,96;0;2,5624473;1,18;0,38;9,3922949;45,8520999;;;
4;0;2,5140762;0,16;0,12;9,392295;45,8520998;;;
4,04;0;2,43595;-0,16;0,12;9,392295;45,8520998;;;
4,08;0;2,3987181;0,38;0,12;9,3922951;45,8520997;;;
4,12;0;2,4318302;0,96;0,12;9,3922952;45,8520997;;;
4,16;0;2,5288012;0,72;0,09;9,3922953;45,8520997;;;
4,2;0;2,5525289;0,36;0,09;9,3922955;45,8520996;;;
4,24;0;2,5173569;0,74;0,12;9,3922957;45,8520996;;;
4,28;0;2,4688332;0,86;0,12;9,3922959;45,8520996;;;
4,32;0;2,4274812;0,6;0,18;9,3922962;45,8520995;;;
4,36;0;2,4039061;0,34;0,18;9,3922964;45,8520995;;;
4,4;0;2,38941;0,78;0,06;9,3922966;45,8520994;;;
4,44;0;2,3827724;1,06;0,06;9,3922968;45,8520994;;;
4,48;0;2,4384677;0,86;0,29;9,3922971;45,8520993;;;
4,52;0;2,5059888;0,54;0,29;9,3922973;45,8520994;;;
4,56;0;2,5629814;0,18;0,35;9,3922975;45,8520995;;;
4,6;0;2,5595481;0,68;0,35;9,3922977;45,8520997;;;
4,64;0;2,5302508;0,14;0,36;9,392298;45,8520998;;;
4,68;0;2,5386431;-0,5;0,36;9,3922982;45,8520997;;;
4,72;0;2,5995266;-0,14;0,32;9,3922984;45,8520996;;;
